Products,"2022/06/10
TRx","2022/06/17
TRx","2022/06/24
TRx","2022/07/01
TRx","2022/07/08
TRx","2022/07/15
TRx","2022/07/22
TRx","2022/07/29
TRx","2022/08/05
TRx","2022/08/12
TRx","2022/08/19
TRx","2022/08/26
TRx","2022/09/02
TRx","2022/09/09
TRx","2022/09/16
TRx","2022/09/23
TRx","2022/09/30
TRx","2022/10/07
TRx","2022/10/14
TRx","2022/10/21
TRx","2022/10/28
TRx","2022/11/04
TRx","2022/11/11
TRx","2022/11/18
TRx","2022/11/25
TRx","2022/12/02
TRx","2022/12/09
TRx","2022/12/16
TRx","2022/12/23
TRx","2022/12/30
TRx","2023/01/06
TRx","2023/01/13
TRx","2023/01/20
TRx","2023/01/27
TRx","2023/02/03
TRx","2023/02/10
TRx","2023/02/17
TRx","2023/02/24
TRx","2023/03/03
TRx","2023/03/10
TRx","2023/03/17
TRx","2023/03/24
TRx","2023/03/31
TRx","2023/04/07
TRx","2023/04/14
TRx","2023/04/21
TRx"
AMBISOME 10/1997 AES,10,13,10,15,13,9,9,10,8,10,7,6,4,15,2,4,4,13,15,10,,18,5,1,,6,6,8,17,11,11,11,11,12,16,16,7,3,9,8,10,5,5,3,5,7
BIKTARVY 02/2018 GS-,52133,51565,50296,51994,47899,52974,51688,50512,51253,52155,51763,51677,52145,47677,53819,52755,49998,52125,50988,52731,51417,52432,51858,53982,45706,55953,53222,53872,52457,49418,50809,54363,51705,51873,52656,54806,52553,52560,54744,54804,53767,53355,53114,54069,53116,53814
COMPLERA 08/2011 GS-,678,658,642,602,592,636,618,519,585,616,603,594,621,550,602,573,588,561,544,580,598,527,521,591,490,573,530,592,547,548,483,540,500,539,484,515,509,563,494,503,536,546,513,498,500,525
DESCOVY 04/2016 GS-,31606,30992,29794,31189,29596,31803,31116,30153,31227,31859,31654,31383,32032,28590,32389,31264,30594,32519,31131,31632,32294,31958,31568,32377,27952,33115,32787,32595,31963,30028,29280,33938,31284,30163,32094,33062,32381,31746,32496,32788,33658,32858,32720,32677,32631,32605
EPCLUSA 06/2016 GS-,1197,1187,1120,1171,1042,1097,1117,1113,1096,1146,1171,1114,1117,943,1177,1109,1007,1125,1103,1079,1102,1115,1042,1134,907,1096,1211,1141,1034,963,970,1053,986,1036,994,1074,1108,1128,1040,1182,1156,1149,1151,1086,1108,1104
GENVOYA 11/2015 GS-,12311,11930,11515,11909,11058,12073,11604,11262,11467,11715,11471,11206,11630,10379,11581,11254,10989,11267,10900,11092,10937,10920,10715,11313,9392,11531,10883,11037,10782,9845,10262,10926,10131,10251,10385,10602,10402,10288,10502,10553,10307,10163,10053,10168,9856,9783
HARVONI 10/2014 GS-,81,82,79,72,69,86,93,46,77,98,72,87,94,69,78,65,62,79,62,52,52,90,57,70,42,64,77,71,55,71,51,58,51,58,59,62,68,63,64,58,68,76,65,44,52,67
LETAIRIS 07/2007 GS-,95,82,78,76,73,90,65,78,73,78,80,79,75,69,81,80,71,64,78,72,70,69,62,84,52,80,70,64,52,69,48,71,63,60,77,79,61,54,71,57,70,57,57,68,52,57
ODEFSEY 03/2016 GS-,6793,6752,6693,6878,6172,6717,6921,6539,6853,6510,6574,6525,6687,5857,6635,6602,6293,6697,6363,6386,6495,6613,6222,6374,5677,6874,6544,6467,6214,5815,6088,6569,6123,6061,5926,6324,6304,5992,6255,6253,6354,6040,6019,6214,6127,5933
STRIBILD 09/2012 GS-,647,539,554,598,547,585,590,568,547,552,581,561,483,527,547,607,488,528,506,558,572,546,485,512,473,573,503,541,535,457,470,556,494,459,511,507,486,451,494,466,483,466,453,493,454,485
TRUVADA 08/2004 GS-,2203,2125,1961,2039,1928,2025,2133,1916,2105,2070,2007,2124,2025,1878,2186,2024,1940,2044,2045,1994,1997,2078,1985,2116,1707,2190,2051,2043,2070,1899,1773,2117,2124,1853,2145,2085,2023,2001,2038,2088,2161,2034,1975,2110,1960,1974
VEMLIDY 11/2016 GS-,7375,7031,6832,7062,6492,7000,6961,6641,7092,6936,6947,6907,7120,6188,7099,7201,6930,6845,6662,7112,6960,6947,7046,7235,6210,7351,7310,7007,6725,6225,6835,6828,6688,6382,6835,6874,6709,6792,6937,7193,6941,6810,7032,7149,6931,6831
VOSEVI 07/2017 GS-,113,104,76,100,74,91,90,94,83,93,70,79,98,73,72,91,80,88,72,72,83,76,59,77,61,61,58,83,70,58,54,69,75,57,68,67,75,64,63,68,77,79,75,65,71,74
